"id","Project Name","Developer","Architect","Contractor","Possible Engineer","Location","Address","Territory","Groundbreaking Year","Completion Year","Article Title","Article Date","Scraped Date","Article Link","Article Summary","Milestone Mentions","Planned Mentions","Lead Score","Qualified","Justification"
,"Watson Island Transformation Proposals","Terra, ESJ Capital Partners, BH3, Merrimac Ventures","","",,,"Watson Island, Miami, FL","Dade / Monroe","","","The latest proposals for Watson Island's transformation reveal plans to develop luxury residential towers, hotels, retail, and expansive public spaces","2024-11-04","2025-12-03","https://floridayimby.com/2024/11/miami-referendum-set-to-decide-future-of-watson-islands-luxury-towers-park-and-waterfront-amenities.html","Proposals for Watson Island transformation include two 40-story residential towers (500-600 units) on northern side by Terra and ESJ Capital Partners, and two towers (30 and 40 stories) on southern end by BH3 and Merrimac Ventures featuring luxury condos, hotels, retail, and dining. Projects pending voter approval in Miami referendum, with developers committing public benefit contributions including affordable housing funding and park maintenance. Projects expected to span multiple years pending approval and permitting processes.","Proposals appearing on Miami's referendum ballots; pending voter approval; subsequent permitting and zoning processes required; projects expected to span multiple years","Proposing two 40-story residential towers; planned to deliver 500-600 units; propose two towers of approximately 30 and 40 stories; would feature 105 condominium units, 150 hotel rooms; would acquire the 5.4-acre parcel; plan to pay minimum of $25 million; commit $9 million toward affordable housing",,"Yes","Confidence: 66 — Article reports proposals for Watson Island transformation in Miami featuring luxury residential towers, hotels, retail, and public spaces. Developers Terra, ESJ Capital Partners, BH3, and Merrimac Ventures are proposing two 40-story residential towers (500-600 units) and two towers of 30-40 stories with condos, hotel rooms, and retail. Projects are pending voter approval in Miami's referendum today, representing very early planning stage before any official filings or permitting processes. No architect named yet and timeline described as 'multiple years' with no specific groundbreaking dates, but referendum stage indicates project is in conceptual phase before detailed engineering begins. Early-stage opportunity for HVAC involvement before mechanical systems are specified."
,"Convivial St. Petersburg","Convivial Life","","",,,"4595 34th Street South, St. Petersburg, FL","Greater Tampa","","","Image from St. Pete Rising","2024-11-08","2025-12-03","https://floridayimby.com/2024/11/convivial-st-petersburg-to-offer-independent-and-assisted-living-at-4595-34th-street-south-st-petersburg-fl.html","Article about Convivial St. Petersburg, a 218-unit senior living community with independent and assisted living units in St. Petersburg, FL. The project has not broken ground yet and will offer various amenities including fitness center, auditorium, and heated rooftop pool. The developer acquired the 5.25-acre site for $21.4 million.","has yet to break ground","upon completion, it'll offer homes",,"Yes","Confidence: 0 — Project located in St. Petersburg, Pinellas County which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"Rosewood Residences Hillsboro Beach","Related Group and Dezer Development","","",,,"1180 Hillsboro Mile, Hillsboro Beach, FL","Broward / Palm Beach / Martin / St. Lucie","","","Image from Rosewood Residences Hillsboro Beach","2024-11-09","2025-12-03","https://floridayimby.com/2024/11/developers-seek-rezoning-approval-for-rosewood-residences-at-1180-hillsboro-mile-hillsboro-beach-fl-33062.html","Developers Related Group and Dezer Development have filed a second rezoning request for Rosewood Residences, a 10-story oceanfront condo in Hillsboro Beach, after a 2022 approval was sidetracked by a lawsuit over building height. The Hillsboro Beach Town Commission will consider the proposal early next week. The project would offer 92 homes (70 condos, 22 villas) across 956,000 square feet. Sales launched in spring 2023 with over 50% of units pre-sold. The property is currently vacant.","Approval secured in 2022; Sales launched in spring 2023; Rezoning request filed; Town Commission consideration scheduled for early next week","Second rezoning request filed; Proposal to be considered by Town Commission; Project would offer 92 homes",,"Yes","Confidence: 66 — Article reports Related Group and Dezer Development filed a second rezoning request for Rosewood Residences, a 10-story oceanfront condo in Hillsboro Beach, Broward County. The Hillsboro Beach Town Commission will consider the proposal early next week, indicating the project is still in regulatory approval phase despite previous 2022 approval being sidetracked by lawsuit. Rezoning application represents early planning activity before construction can proceed, with no groundbreaking timeline mentioned. Project details include 92 homes across 956,000 square feet, but no architect named and no formal Development Order filed yet. While pre-sales launched in 2023, the need for new rezoning approval creates opportunity for early HVAC involvement before detailed mechanical engineering begins."
,"Lauderhill Mall Outparcel Mixed-Use Development","Lauderhill Mall Investments LLC","Urban Design","",,,"1267 N.W. 40th Ave., Lauderhill, FL","Broward / Palm Beach / Martin / St. Lucie","","","An auto service store on the property of the Lauderhill Mall could be demolished to make way for a mixed-use development.","2024-11-10","2025-12-03","https://floridayimby.com/2024/11/lauderhill-mall-investments-llc-seeks-special-exemption-for-mixed-use-development-regarding-1267-n-w-40th-ave-lauderhill-fl.html","Lauderhill Mall Investments LLC proposes demolishing an auto service store at Lauderhill Mall to build three mixed-use buildings totaling 233 residential units and 14,000 SF retail, seeking special exemption approval from the City Commission on November 28, 2024. Architect is Urban Design.","City Commission hearing on November 28, 2024 for special exemption approval","Construct three buildings after approval: five-story with 56 units and retail, five-story with 55 units, eight-story with 122 units and clubhouse",,"Yes","Confidence: 92 — Lauderhill Mall Investments LLC is seeking special exemption approval from the Lauderhill City Commission for a mixed-use development on an outparcel at Lauderhill Mall in Lauderhill, Broward County, featuring three new buildings with a total of 233 residential units and over 14,000 square feet of retail space. Urban Design serves as the project architect. The City Commission hearing is scheduled for November 28, 2024, confirming the project is in the early regulatory approval phase before any construction can begin, with no mechanical engineering plans finalized yet. This pre-approval stage provides an ideal window for early HVAC specification involvement."
,"Cutler Manor","Preservation of Affordable Housing (POAH)","Behar Font & Partners","",,,"10875 SW 216th Street, Miami, FL","Dade / Monroe","","","","2024-11-11","2025-12-03","https://floridayimby.com/2024/11/cutler-manor-development-to-offer-workforce-affordable-housing-at-10875-s-w-216th-street-miami-fl.html","Affiliate of POAH plans to redevelop Cutler Manor by demolishing existing 218-unit complex in three phases and building new 332-unit affordable/workforce housing in 2-6 story buildings with amenities and 385 parking spots. Pre-application phase as of October 2024.","pre-application phase","demolish existing buildings in three phases; 332 apartments (33 workforce, 299 affordable); 2-6 stories; playground, daycare; 385 parking spots",,"Yes","Confidence: 88 — Article announces redevelopment of Cutler Manor, a 218-unit apartment complex at 10875 SW 216th Street in Miami, Miami-Dade County, into a new 332-unit affordable and workforce housing project with buildings measuring two to six stories. An affiliate of Preservation of Affordable Housing (POAH) is the developer, with Behar Font & Partners as architect. As of October 2024, the project is in its pre-application phase seeking community feedback before formal submission to the county, representing an early planning stage typically 18-36 months before construction begins. Pre-application status with named developer and architect indicates ideal timing for early HVAC involvement before mechanical engineering plans are finalized."
,"Sonder Hotel Edgewater","Habitus Edgewater HF B LLC (affiliate of Habitus Capital)","IDEA Architect","",,,"495 NE 25th Street, Miami, FL","Dade / Monroe","","","Habitus Edgewater HF B LLC hopes to move forward with an eight-story hotel in Miami’s Edgewater neighborhood","2024-11-12","2025-12-03","https://floridayimby.com/2024/11/developer-plans-sonder-branded-hotel-for-495-ne-25th-street-miami-fl.html","Habitus Edgewater HF B LLC proposes an eight-story, 50,902 SF Sonder hotel with 61 rooms in Miami Edgewater. Features include studio to two-bedroom units, rooftop pool, BBQ, gym, and 23 parking spots. Site purchased for $1.95M; designed by IDEA Architect. Planning, Zoning and Appeals Board considered plans on Nov 6.","Planning, Zoning and Appeals Board considered plans on November 6","Hopes to move forward with eight-story hotel; purchased site for development",,"Yes","Confidence: 92 — Habitus Edgewater HF B LLC, an affiliate of Habitus Capital, hopes to move forward with an eight-story Sonder-brand hotel at 495 NE 25th Street in Miami’s Edgewater neighborhood, Miami-Dade County. The project includes 61 rooms, rooftop pool, gym, and was designed by North Miami-based IDEA Architect; the developer recently purchased the 0.2-acre site for $1.95 million. Miami’s Planning, Zoning and Appeals Board considered the project’s plans on November 6, representing early zoning and planning review stage typically 12-18 months before construction. Land acquisition with stated hotel development intent and planning board consideration confirm early-stage opportunity before mechanical engineering and HVAC systems are specified."
,"Anchor at Gulf Harbors","Dominium","","WD Construction",,,"5430 Jackstay Road, New Port Richey, FL","Greater Tampa","","","","2024-11-13","2025-12-03","https://floridayimby.com/2024/11/dominium-plans-388-unit-anchor-at-gulf-harbors-for-5430-jackstay-road-in-new-port-richey.html","National developer Dominium is moving forward with a multi-family housing development called Anchor at Gulf Harbors after securing a 27.7-acre site in New Port Richey, Florida. The project will comprise 388 residences in a five-story building targeted at low, middle, and moderate elderly income tenants, funded by the Section 42 Low-Income Housing Tax Credit program. Amenities include a swimming pool, bocce ball court, firepits, and preservation of wetlands with trails.","","Plans call for 388 units in a five-story building with communal amenities including swimming pool with deck area, bocce ball court, firepits, and preservation of eight acres of natural Florida wetlands featuring trails.",,"Yes","Confidence: 0 — Project located in New Port Richey, Pasco County which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
,"Hillcrest Apartments","Harwin-Tobin 1101 LLC","Realization Architects","",,,"1101 Hillcrest Drive, Hollywood, FL","Broward / Palm Beach / Martin / St. Lucie","","","Hollywood’s Technical Advisory Committee intends to review plans for Hillcrest Apartments","2024-11-15","2025-12-03","https://floridayimby.com/2024/11/city-officials-to-review-plans-for-120-unit-hillcrest-apartments-at-1101-hillcrest-drive-hollywood-fl.html","Hollywood’s Technical Advisory Committee to review plans for proposed eight-story Hillcrest Apartments with 120 units on three-acre parking lot site in Hollywood, Broward County. Designed by Realization Architects for owner Harwin-Tobin 1101 LLC, includes amenities like fitness center and pool.","Technical Advisory Committee review next week","proposed Hillcrest Apartments, plans for review, if approved",,"Yes","Confidence: 92 — Hollywood’s Technical Advisory Committee intends to review plans next week for the proposed Hillcrest Apartments, an eight-story income-restricted housing development with 120 apartments at 1101 Hillcrest Drive, Hollywood, in Broward County. Harwin-Tobin 1101 LLC is the longtime property owner, and Coral Gables-based Realization Architects designed the project, which will occupy a current three-acre parking lot site requiring 143,325 square feet of new construction. Technical Advisory Committee review represents an early planning stage similar to Development Review Committee processes, typically 9-18 months before construction begins, before mechanical systems are specified. Ideal timing for early HVAC involvement as the project enters regulatory review with design team already engaged."
,"Rosee Wynwood","Norwyn Development and Charles Benson","BINST ARCHITECTS","",,,"3223 NW 5th Ave, Miami, FL","Dade / Monroe","","2027","Miami’s Urban Development Review Board will consider plans regarding Rosee Wynwood","2024-11-18","2025-12-03","https://floridayimby.com/2024/11/miamis-udrb-to-review-plans-for-rosee-wynwood-located-at-3223-nw-5th-ave-miami-fl.html","Article details preconstruction plans for Rosee Wynwood, a 6-story, 140-unit residential building with retail space and amenities, under review by Miami’s Urban Development Review Board. Developers Norwyn Development and Charles Benson, architect BINST ARCHITECTS. Located at 3223 NW 5th Ave, Miami, FL, with 2027 completion target.","Miami’s Urban Development Review Board will consider plans on November 20th","Slated for 2027 completion",,"Yes","Confidence: 92 — Miami’s Urban Development Review Board will consider plans for Rosee Wynwood, a six-story mixed-use project offering 140 residential units and 10,465 SF of retail at 3223 NW 5th Ave, Miami, in Miami-Dade County. Developers Norwyn Development and Charles Benson retained Antwerp-based BINST ARCHITECTS for design, with project slated for 2027 completion. Urban Development Review Board consideration represents early public planning review stage, typically 12-18 months before construction, combined with 2027 completion timeline (current year + 2, 24+ months away) indicating project in early phase before mechanical systems are specified. Ideal timing for early HVAC specification involvement before detailed engineering begins."
,"The Standard Residences, Brickell","Newgard Development Group and Two Roads Development","Arquitectonica","",,,"690 Southwest 1st Avenue, Miami, FL","Dade / Monroe","","","Newgard and Two Roads Announce The Standard Residences, Brickell","2024-11-24","2025-12-03","https://floridayimby.com/2024/11/developers-announce-the-standard-residences-brickell-a-45-story-tower-at-690-sw-1st-avenue.html","Newgard Development Group and Two Roads Development, in collaboration with The Standard team, announced The Standard Residences, Brickell, a 45-story tower with 422 residences in Miami's Brickell at 690 SW 1st Avenue. Designed by Arquitectonica, it offers luxury amenities and is part of One Brickell Riverfront. Sales handled by ONE Sotheby’s International Realty.","Official project announcement; collaboration with The Standard brand; architect and interior designer selection","45-story tower with 422 residences from studios to two-bedrooms; rooftop pool, wellness spa, fitness center, restaurants, co-working spaces",,"Yes","Confidence: 85 — Newgard Development Group and Two Roads Development officially announced The Standard Residences, Brickell, a 45-story residential tower at 690 Southwest 1st Avenue in Miami's Brickell Financial District, designed by Arquitectonica with interiors by GOOD.RICH. The project is part of the One Brickell Riverfront mixed-use development and features 422 residences with extensive amenities including rooftop pool, wellness spa, and restaurants. Official announcement with named developer, architect, and detailed project specifications indicates early planning stage before mechanical engineering and HVAC systems are specified. No construction activity or near-term timelines mentioned, representing an ideal early-stage opportunity for HVAC specification involvement."
,"1315 NE Miami CT., Miami, FL","Optimum Property Management","Behar Font & Partners","",,,"1315 NE Miami CT., Miami, FL","Dade / Monroe","","","Optimum Property Management hopes to get approval for a high-rise tower in Miami-Dade County","2024-11-24","2025-12-03","https://floridayimby.com/2024/11/north-miami-developer-files-application-for-50-story-tower-at-1315-ne-miami-ct-miami-fl.html","Optimum Property Management proposes demolishing a 1960 low-rise apartment complex at 1315 NE Miami CT., Miami, to build a 50-story tower with 378 residences (48 workforce housing units), 1,150 sq ft commercial space, amenities, and 321 parking spots. Currently in pre-construction phase with a recent pre-application filed for feedback; architect is Behar Font & Partners.","pre-application filed","hopes to get approval; demolition of existing complex and construction of 50-story tower",,"Yes","Confidence: 92 — Article announces Optimum Property Management's proposal for a 50-story high-rise tower comprising 378 residences and commercial space at 1315 NE Miami CT., Miami, in Miami-Dade County. The developer recently filed a pre-application seeking feedback from community and city officials before formal submissions, with Behar Font & Partners as the architect. Pre-application filing represents one of the earliest planning stages, typically 18-36+ months before construction begins, confirming the project is in conceptual phase before mechanical systems are specified. Ideal early-stage opportunity for HVAC involvement with named developer and architect."
,"601 N. Ashley Drive, Tampa, FL","TLR Group","Arquitectonica","Coastal Construction",,,"601 N. Ashley Drive, Tampa, FL","Greater Tampa","","","","2024-12-12","2025-12-03","https://floridayimby.com/2024/12/tlr-group-reduces-aspects-of-high-rise-tower-at-601-n-ashley-drive-tampa-fl.html","Tampa-based developer TLR Group is planning a 43-story tower at 601 N. Ashley Drive in Downtown Tampa, featuring 600 apartments, 46,000 square feet of office space, and 11,000 square feet of retail. The developer secured FAA approval after seeking it in 2022 and has altered the project specs to include more residences. An existing 12-story building on the site will be demolished, with Coastal Construction as general contractor and Arquitectonica as architect.","FAA approval secured; specs altered to more residences.","43-story tower with 600 apartments, 46,000 SF office, 11,000 SF retail; demolition of existing 12-story building.",,"Yes","Confidence: 0 — Project located in Tampa, Hillsborough County which is outside South Florida target region. Only projects in Monroe, Miami-Dade, Broward, Palm Beach, Martin, or St. Lucie County qualify for analysis."
